time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1779364276.8528235,1,0.9995,0,24.0777,24.0661,24.0777,1.270078,0.2148,-9.12,1.000000,1.000000
1779364277.1077425,2,0.9995,0,23.8881,11.9442,29.9580,1.281554,0.2065,-10.33,0.500000,0.500000
1779364277.3761349,3,0.9995,0,23.8548,7.9538,33.2287,1.233733,0.2009,-11.79,0.333333,0.333333
1779364277.6325016,4,0.9994,0,23.8120,5.9559,35.3437,1.192938,0.1920,-13.04,0.250000,0.250000
1779364277.8972204,5,0.9994,0,23.9943,4.8019,36.9173,1.267426,0.1961,-13.06,0.200000,0.200000
1779364278.1602385,6,0.9994,0,23.9131,3.9885,38.0754,1.349100,0.1849,-12.12,0.166667,0.166667
1779364278.4267955,7,0.9994,0,23.8921,3.4161,38.6930,1.382077,0.2030,-11.62,0.142857,0.159104
1779364278.668002,8,0.9993,0,23.9709,2.9992,38.8747,1.345847,0.1775,-12.05,0.125000,0.159104
1779364278.9449153,9,0.9992,0,24.0217,2.6719,38.7605,1.257034,0.1865,-13.04,0.111111,0.159104
1779364279.1910682,10,0.9992,0,24.2736,2.4301,38.5013,1.192497,0.1751,-12.55,0.100000,0.159104
1779364279.4611728,11,0.9992,0,24.4369,2.2242,38.1358,1.216597,0.1754,-10.70,0.090909,0.159104
1779364279.7317612,12,0.9993,0,24.4558,2.0405,37.6769,1.280216,0.1794,-8.59,0.083333,0.159104
1779364279.9836123,13,0.9992,0,24.2674,1.8692,37.1171,1.314689,0.1672,-6.33,0.076923,0.159104
1779364280.2693403,14,0.9989,0,24.2794,1.7367,36.5376,1.352576,0.1792,-4.67,0.071429,0.159104
1779364280.517579,15,0.9986,0,24.3440,1.6254,35.9675,1.393423,0.1711,-2.70,0.066667,0.159104
1779364280.8193598,16,0.9984,0,24.4368,1.5297,35.4225,1.432768,0.2064,-1.29,0.062500,0.159104
1779364281.0877426,17,0.9986,0,24.5042,1.4438,34.9023,1.451719,0.1975,-0.51,0.058824,0.159104
